id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1516221460620136451,1516216256965185539,2022-04-18 21:05:40 EDT,2022-04-18,21:05:40,-0400,931441275009724416,ahmetepik7,ahmetepik7,,@bunlaaarr @sputnik_TR What about the Wagner Nazis?..,en,[],[],[],0,0,0,[],[],https://twitter.com/ahmetepik7/status/1516221460620136451,False,,0,,Philippines,,,,,,"[{'screen_name': 'bunlaaarr', 'name': 'TUGAY TEKNECİ', 'id': '765578191440322560'}, {'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516158946058567680,1516157376596000772,2022-04-18 16:57:16 EDT,2022-04-18,16:57:16,-0400,1478817126559461379,turksabr,İlk Siriuslu,,@sputnik_TR Ben olsam bayraktar tb2 gönderirdim filistine. Din kardeşim olmayan abd maşası ukraynalılara göndermişsem filistine de yollamak şart di mi ama!?,tr,[],[],[],0,0,0,[],[],https://twitter.com/TurkSabr/status/1516158946058567680,False,,0,,Philippines,,,,,,"[{'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516154933443182592,1516152085775101953,2022-04-18 16:41:19 EDT,2022-04-18,16:41:19,-0400,931441275009724416,ahmetepik7,ahmetepik7,,@sputnik_TR Rusya'nın Halep'te işlediği insanlık suçları ne olacak? Binlerce yıllık kadim şehir Halep'te taş taş üstünde kalmadı ve kaç bin kişinin öldüğü belli değil. Ne çabuk unuttunuz?..  https://t.co/igZ54v8MtL,tr,[],[],['https://pbs.twimg.com/media/FQp20LhXoAcEkdO.jpg'],0,0,2,[],[],https://twitter.com/ahmetepik7/status/1516154933443182592,False,,1,https://pbs.twimg.com/media/FQp20LhXoAcEkdO.jpg,Philippines,,,,,,"[{'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516146028273348608,1516123036486840320,2022-04-18 16:05:56 EDT,2022-04-18,16:05:56,-0400,491814687,icelemontea0101,Wizaiful Zakizan II🇲🇾🇭🇹,,@SputnikInt Never mind.. 🤣🤣  https://t.co/Zet0HNgHSS,en,[],[],['https://pbs.twimg.com/media/FQpuxxCaQAAKa08.jpg'],0,0,0,[],[],https://twitter.com/IceLemonTea0101/status/1516146028273348608,False,,1,https://pbs.twimg.com/media/FQpuxxCaQAAKa08.jpg,Philippines,,,,,,"[{'screen_name': 'SputnikInt', 'name': 'Sputnik', 'id': '34262462'}]",,,,
1516122104097394688,1515928330696110082,2022-04-18 14:30:52 EDT,2022-04-18,14:30:52,-0400,141014236,q______s,Kabak Tadı,,@sputnik_TR hele bi kış olsun hele allah kerim.,tr,[],[],[],0,0,0,[],[],https://twitter.com/q______s/status/1516122104097394688,False,,0,,Philippines,,,,,,"[{'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516121207262822410,1516116043562901515,2022-04-18 14:27:18 EDT,2022-04-18,14:27:18,-0400,1478817126559461379,turksabr,İlk Siriuslu,,@sputnik_TR Yolla bir kaç bayraktar. Ukraynaya yollanmış. Filistinli kardeşlerimize de fayda olsun di mi!?,tr,[],[],[],0,0,0,[],[],https://twitter.com/TurkSabr/status/1516121207262822410,False,,0,,Philippines,,,,,,"[{'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516104559579607041,1516060228680249355,2022-04-18 13:21:09 EDT,2022-04-18,13:21:09,-0400,4870925716,pasa_gonlum_,Ayda,,@sputnik_TR Bah döşüme bah döşüme 😁,tr,[],[],[],0,0,0,[],[],https://twitter.com/pasa_gonlum_/status/1516104559579607041,False,,0,,Philippines,,,,,,"[{'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516090756670263301,1516090756670263301,2022-04-18 12:26:18 EDT,2022-04-18,12:26:18,-0400,1393141774298730513,maiyeubesanta,LoveyouSANTA,,“Vì sao? Có phải Trái Đất sinh ra chỉ để nuôi dưỡng sự cô đơn của con người?” (Người tình Sputnik - Haruki Murakami) @into1_santa_   #INTO1SANTA  #SantaGreatDanceCrew #DancekingSANTA  https://t.co/z5O7t4AVm3,vi,"[{'screen_name': 'into1_santa_', 'name': 'santa', 'id': '1240985364'}]",[],['https://pbs.twimg.com/media/FQo8ghsVIAUWKrx.jpg'],0,3,6,"['into1santa', 'santagreatdancecrew', 'dancekingsanta']",[],https://twitter.com/MaiyeubeSanta/status/1516090756670263301,False,,1,https://pbs.twimg.com/media/FQo8ghsVIAUWKrx.jpg,Philippines,,,,,,[],,,,
1516079836527308809,1516074223655174147,2022-04-18 11:42:55 EDT,2022-04-18,11:42:55,-0400,1478817126559461379,turksabr,İlk Siriuslu,,@sputnik_TR Ukrayna yerine filistine bayraktar tb2 verseydiniz azıcık da olsa sözünüze önem veren olurdu!,tr,[],[],[],0,0,0,[],[],https://twitter.com/TurkSabr/status/1516079836527308809,False,,0,,Philippines,,,,,,"[{'screen_name': 'sputnik_TR', 'name': 'Sputnik Türkiye', 'id': '424893128'}]",,,,
1516078016773996545,1516076587510161415,2022-04-18 11:35:41 EDT,2022-04-18,11:35:41,-0400,931441275009724416,ahmetepik7,ahmetepik7,,@sputnik_TR  https://t.co/TZheRAwc1r,und,[],[],['https://pbs.twimg.com/media/FQow6inXwAQKCkb.jpg'],0,0,2,[],[],https://twitter.com/ahmetepik7/status/1516078016773996545,False,,1,https://pbs.twimg.com/media/FQow6inXwAQKCkb.jpg,Philippines,,,,,,[],,,,
1516062816121151499,1516059925050707974,2022-04-18 10:35:17 EDT,2022-04-18,10:35:17,-0400,414693435,winsymtae,exava,,"@starfess txt - 0x1=lovesong, loser lover, dear sputnik",en,[],[],[],0,0,0,[],[],https://twitter.com/winsymtae/status/1516062816121151499,False,,0,,Philippines,,,,,,"[{'screen_name': 'starfess', 'name': 'TRIGGERNYA -star | AYO BACA RULES :)', 'id': '1210342758029807616'}]",,,,
1516007828049248261,1516007828049248261,2022-04-18 06:56:46 EDT,2022-04-18,06:56:46,-0400,1377191564,lililopezforesi,Liliana López Foresi,,"Qué pasó con la vacuna Sputnik V producida en la Argentina, tras las sanciones impuestas a Rusia y la postergada autorización de la OMS  https://t.co/kew9zqnkG0 a través de @chequeado",es,"[{'screen_name': 'chequeado', 'name': 'chequeado', 'id': '176414763'}]",['https://chequeado.com/el-explicador/que-paso-con-la-vacuna-sputnik-v-producida-en-la-argentina-tras-las-sanciones-impuestas-a-rusia-y-la-postergada-autorizacion-de-la-oms/'],[],2,13,22,[],[],https://twitter.com/LiliLopezForesi/status/1516007828049248261,False,,0,,Philippines,,,,,,[],,,,
1516004048008265731,1516003187458777091,2022-04-18 06:41:45 EDT,2022-04-18,06:41:45,-0400,844577811448971265,galileoarms,Galileo🇪🇸,,"@AmeliosGames Saben de editar, estos son el nuevo Azov sino al tiempo, dentro de poco dirán los de 7,RT y Sputnik que tienen un tamaño de cuerpo de ejército como las Waffen SS en lugar de las 4 o 5 compañías que tendrán por ahí...",es,[],[],[],1,1,9,[],[],https://twitter.com/GalileoArms/status/1516004048008265731,False,,0,,Philippines,,,,,,"[{'screen_name': 'AmeliosGames', 'name': 'AmeliosGames', 'id': '1468676175295926272'}]",,,,
